"objetID,C,254","dateRefere,D","route,C,100","pr,C,10","depPr,C,10","concession,C,1","abs,N,24,15","cumul,N,24,15","x,N,24,15","y,N,24,15","z,N,24,15","cote,C,1","voie,N,10,0","accrochage,C,20","longueurd,N,10,0","longueurg,N,10,0","sectionnem,C,3","sectionn_1,C,15"
18863,02/01/2026,25N905717,3,25,N,0,375,"934951,06","6683010,96",0,D,0,ACCROCHE,195,0,25,DIRE
3413,02/01/2026,25N905717,4,25,N,0,570,"934654,5","6683214,71",0,D,0,ACCROCHE,263,0,25,DIRE
73305,02/01/2026,25N905717,5,25,N,0,833,"934530,88","6683144,13",0,D,0,ACCROCHE,44,0,25,DIRE
43654,02/01/2026,25N905718,1,25,N,0,0,"938461,88","6682155,69",0,D,0,ACCROCHE,170,0,25,DIRE
27986,02/01/2026,25N905718,2,25,N,0,170,938534,"6682008,49",0,D,0,ACCROCHE,90,0,25,DIRE
17138,02/01/2026,25N905718,3,25,N,0,260,"939825,72","6682131,51",0,D,0,ACCROCHE,160,0,25,DIRE
20868,02/01/2026,25N905718,4,25,N,0,420,"938496,18","6682165,4",0,D,0,ACCROCHE,120,0,25,DIRE
25914,02/01/2026,25N905719,1,25,N,0,0,"942750,81","6680174,07",0,D,0,ACCROCHE,233,0,25,DIRE
15189,02/01/2026,25N905719,2,25,N,0,233,"942947,84","6680052,41",0,D,0,ACCROCHE,230,0,25,DIRE
21844,02/01/2026,25N905719,3,25,N,0,463,"943175,53","6680148,15",0,D,0,ACCROCHE,350,0,25,DIRE
18395,02/01/2026,25N905719,4,25,N,0,813,"942952,78","6680060,82",0,D,0,ACCROCHE,300,0,25,DIRE
52918,02/01/2026,25N905720,1,25,N,0,0,"946938,67","6677714,74",0,D,0,ACCROCHE,129,0,25,DIRE
65975,02/01/2026,25N905720,2,25,N,0,129,"946862,6","6677710,84",0,D,0,ACCROCHE,129,0,25,DIRE
28274,02/01/2026,25N905720,3,25,N,0,258,"946969,97","6677690,02",0,D,0,ACCROCHE,95,0,25,DIRE
61172,02/01/2026,25N905720,4,25,N,0,353,"946990,81","6677778,02",0,D,0,ACCROCHE,101,0,25,DIRE
5846,02/01/2026,25N905721,1,25,N,0,0,"949047,49","6675145,21",0,D,0,ACCROCHE,131,0,25,DIRE
46900,02/01/2026,25N905721,2,25,N,0,131,"948940,06","6675113,67",0,D,0,ACCROCHE,134,0,25,DIRE
65830,02/01/2026,25N905721,3,25,N,0,265,"949117,43","6675233,38",0,D,0,ACCROCHE,306,0,25,DIRE
32459,02/01/2026,25N905722,1,25,N,0,0,"953340,68","6672013,22",0,D,0,ACCROCHE,286,0,25,DIRE
37508,02/01/2026,25N905722,2,25,N,0,286,"953476,15","6671748,83",0,D,0,ACCROCHE,300,0,25,DIRE
25843,02/01/2026,25N905722,3,25,N,0,586,"953732,97","6671576,53",0,D,0,ACCROCHE,368,0,25,DIRE
17707,02/01/2026,25N905722,4,25,N,0,954,"953686,5","6671912,19",0,D,0,ACCROCHE,272,0,25,DIRE
2837,02/01/2026,25N905722,5,25,N,0,1226,"953677,61","6671882,66",0,D,0,ACCROCHE,20,0,25,DIRE
3857,02/01/2026,25N905722,6,25,N,0,1246,"953618,14","6671879,68",0,D,0,ACCROCHE,29,0,25,DIRE
17857,02/01/2026,25N905722,7,25,N,0,1275,"953483,36","6671808,92",0,D,0,ACCROCHE,34,0,25,DIRE
29726,02/01/2026,25N905722,8,25,N,0,1309,"953498,48","6671777,91",0,D,0,ACCROCHE,29,0,25,DIRE
54879,02/01/2026,25N905723,1,25,N,0,0,"956157,51","6648129,68",0,D,0,ACCROCHE,240,0,25,DIRE
17337,02/01/2026,25N905723,2,25,N,0,240,"956133,17","6647885,23",0,D,0,ACCROCHE,160,0,25,DIRE
52453,02/01/2026,25N905724,1,25,N,0,0,"956132,2","6637530,57",0,D,0,ACCROCHE,247,0,25,DIRE
37752,02/01/2026,25N905724,2,25,N,0,247,"956375,03","6637351,33",0,D,0,ACCROCHE,196,0,25,DIRE
21219,02/01/2026,25N905724,3,25,N,0,443,"956617,42","6637367,84",0,D,0,ACCROCHE,228,0,25,DIRE
61169,02/01/2026,25N905724,4,25,N,0,671,"956331,75","6637419,48",0,D,0,ACCROCHE,260,0,25,DIRE
11255,02/01/2026,25N905724,5,25,N,0,931,"956315,24","6637373,02",0,D,0,ACCROCHE,274,0,25,DIRE
72037,02/01/2026,25N905727,1,25,N,0,0,"932982,53","6684603,58",0,D,0,ACCROCHE,313,0,25,DIRE
49396,02/01/2026,25N905727,2,25,N,0,313,"933091,49","6684623,31",0,D,0,ACCROCHE,321,0,25,DIRE
15339,02/01/2026,25N905751,1,25,N,0,0,"926046,3","6694111,23",0,D,0,ACCROCHE,515,0,25,DIRE
2523,02/01/2026,25N905751,2,25,N,0,515,"925754,99","6693974,17",0,D,0,ACCROCHE,393,0,25,DIRE
11041,02/01/2026,25N905751,3,25,N,0,908,"925817,81","6693343,9",0,D,0,ACCROCHE,1165,0,25,DIRE
19896,02/01/2026,25N905751,4,25,N,0,2073,"925590,68","6693840,56",0,D,0,ACCROCHE,983,0,25,DIRE
8706,02/01/2026,25N908301,1,25,N,0,0,"918699,63","6668416,59",0,D,0,ACCROCHE,146,0,25,DIRE
20256,02/01/2026,25N908301,2,25,N,0,146,"918742,06","6668568,43",0,D,0,ACCROCHE,210,0,25,DIRE
34914,02/01/2026,25N908301,3,25,N,0,356,"918708,18","6668749,98",0,D,0,ACCROCHE,172,0,25,DIRE
3962,02/01/2026,25N908301,4,25,N,0,528,"918639,55","6668557,12",0,D,0,ACCROCHE,137,0,25,DIRE
28433,02/01/2026,25N908301,5,25,N,0,665,"918739,39","6668547,97",0,D,0,ACCROCHE,30,0,25,DIRE
66140,02/01/2026,25N908302,1,25,N,0,0,"919792,99","6671476,14",0,D,0,ACCROCHE,766,0,25,DIRE
50674,02/01/2026,25N908302,2,25,N,0,766,"920193,03","6671740,66",0,D,0,ACCROCHE,520,0,25,DIRE
58931,02/01/2026,39N900507,1,39,N,0,0,"921704,12","6633260,51",0,D,0,ACCROCHE,360,0,39,DIRE
61526,02/01/2026,39N900507,2,39,N,0,360,"921820,22","6632921,22",0,D,0,ACCROCHE,266,0,39,DIRE
21962,02/01/2026,39N900507,3,39,N,0,626,"921995,56","6632822,56",0,D,0,ACCROCHE,220,0,39,DIRE
38135,02/01/2026,39N900507,4,39,N,0,846,"921869,45","6633046,6",0,D,0,ACCROCHE,233,0,39,DIRE
12187,02/01/2026,39N900507,5,39,N,0,1079,"921896,95","6633024,51",0,D,0,ACCROCHE,150,0,39,DIRE
15340,02/01/2026,39N900507,6,39,N,0,1229,"921768,47","6632877,73",0,D,0,ACCROCHE,167,0,39,DIRE
3425,02/01/2026,39N900507,7,39,N,0,1396,"921862,61","6633019,33",0,D,0,ACCROCHE,157,0,39,DIRE
25807,02/01/2026,39N900507,8,39,N,0,1553,"921740,23","6632913,79",0,D,0,ACCROCHE,163,0,39,DIRE
63845,02/01/2026,39N900508,1,39,N,0,0,"923229,06","6631474,28",0,D,0,ACCROCHE,210,0,39,DIRE
73032,02/01/2026,39N900508,2,39,N,0,210,"923188,9","6631355,34",0,D,0,ACCROCHE,220,0,39,DIRE
30061,02/01/2026,39N900508,3,39,N,0,430,"923469,15","6631198,37",0,D,0,ACCROCHE,768,0,39,DIRE
34462,02/01/2026,39N900508,4,39,N,0,1198,"923032,51","6631531,07",0,D,0,ACCROCHE,688,0,39,DIRE
21737,02/01/2026,39N900509,1,39,N,0,0,"923324,64","6629529,43",0,D,0,ACCROCHE,240,0,39,DIRE
6328,02/01/2026,39N900509,2,39,N,0,240,"923150,42","6629581,17",0,D,0,ACCROCHE,240,0,39,DIRE
39931,02/01/2026,39N900509,3,39,N,0,480,"923158,16","6629250,89",0,D,0,ACCROCHE,150,0,39,DIRE
16463,02/01/2026,39N900509,4,39,N,0,630,"923274,19","6629263,39",0,D,0,ACCROCHE,160,0,39,DIRE
55686,02/01/2026,39N900509,5,39,N,0,790,"923152,24","6629606,67",0,D,0,ACCROCHE,170,0,39,DIRE
50088,02/01/2026,39N900509,6,39,N,0,960,"923248,07","6629258,02",0,D,0,ACCROCHE,170,0,39,DIRE
10974,02/01/2026,39N900509,7,39,N,0,1130,"923117,5","6629575,39",0,D,0,ACCROCHE,410,0,39,DIRE
34011,02/01/2026,39N900509,8,39,N,0,1540,"923290,5","6629239,8",0,D,0,ACCROCHE,405,0,39,DIRE
33255,02/01/2026,39N900511,1,39,N,0,0,"926066,04","6613503,5",0,D,0,ACCROCHE,155,0,39,DIRE
30521,02/01/2026,39N908301,1,39,N,0,0,"899740,56","6641236,13",0,D,0,ACCROCHE,175,0,39,DIRE
59660,02/01/2026,39N908311,1,39,N,0,0,"905937,75","6641905,17",0,D,0,ACCROCHE,150,0,39,DIRE
47557,02/01/2026,39N908311,2,39,N,0,150,"906032,2","6642013,07",0,D,0,ACCROCHE,35,0,39,DIRE
52821,02/01/2026,39N908311,3,39,N,0,185,"905960,54","6641952,3",0,D,0,ACCROCHE,160,0,39,DIRE
61968,02/01/2026,39N908311,4,39,N,0,345,"905861,87","6641819,69",0,D,0,ACCROCHE,160,0,39,DIRE
48221,02/01/2026,51N900401,1,51,N,0,0,"752825,83","6848041,87",0,D,0,ACCROCHE,335,0,51,GE DIRE
13881,02/01/2026,51N900401,2,51,N,0,335,"753104,13","6848068,79",0,D,0,ACCROCHE,340,0,51,GE DIRE
47578,02/01/2026,51N900401,3,51,N,0,675,"753238,65",6848125,0,D,0,ACCROCHE,260,0,51,GE DIRE
58133,02/01/2026,51N900401,4,51,N,0,935,"752947,92","6848286,03",0,D,0,ACCROCHE,230,0,51,GE DIRE
25294,02/01/2026,51N900401,5,51,N,0,1165,"753122,74","6848026,74",0,D,0,ACCROCHE,29,0,51,GE DIRE
49330,02/01/2026,51N900402,1,51,N,0,0,"754472,24","6847024,05",0,D,0,ACCROCHE,365,0,51,GE DIRE
61205,02/01/2026,51N900402,2,51,N,0,365,"754676,13","6846709,41",0,D,0,ACCROCHE,455,0,51,GE DIRE
2308,02/01/2026,51N900402,3,51,N,0,820,"755208,89","6846800,55",0,D,0,ACCROCHE,737,0,51,GE DIRE
62848,02/01/2026,51N900402,4,51,N,0,1557,"754676,26","6846732,55",0,D,0,ACCROCHE,539,0,51,GE DIRE
47179,02/01/2026,51N900402,5,51,N,0,2096,"754752,73","6846951,81",0,D,0,ACCROCHE,45,0,51,GE DIRE
1569,02/01/2026,51N900403,1,51,N,0,0,"788399,37","6848775,69",0,D,0,ACCROCHE,130,0,51,GE DIRE
41833,02/01/2026,51N900403,2,51,N,0,130,"788610,67","6848686,07",0,D,0,ACCROCHE,170,0,51,GE DIRE
4186,02/01/2026,51N900403,3,51,N,0,300,"788819,74","6848742,08",0,D,0,ACCROCHE,170,0,51,GE DIRE
72150,02/01/2026,51N900403,4,51,N,0,470,"788599,06","6848866,07",0,D,0,ACCROCHE,200,0,51,GE DIRE
53249,02/01/2026,51N900404,1,51,N,0,0,"817883,63","6849824,12",0,D,0,ACCROCHE,533,0,51,GE DIRE
34428,02/01/2026,51N900404,2,51,N,0,533,"818077,23","6849359,03",0,D,0,ACCROCHE,462,0,51,GE DIRE
59240,02/01/2026,51N900405,1,51,N,0,0,"818644,57","6849450,66",0,D,0,ACCROCHE,295,0,51,GE DIRE
43014,02/01/2026,51N900405,2,51,N,0,295,"818566,35","6849680,65",0,D,0,ACCROCHE,245,0,51,GE DIRE
6266,02/01/2026,51N900405,3,51,N,0,540,"818590,11","6849705,36",0,D,0,ACCROCHE,39,0,51,GE DIRE
58663,02/01/2026,51N900406,1,51,N,0,0,"819266,91","6848874,5",0,D,0,ACCROCHE,185,0,51,GE DIRE
14205,02/01/2026,51N900406,2,51,N,0,185,"819196,58","6848758,63",0,D,0,ACCROCHE,137,0,51,GE DIRE
45236,02/01/2026,51N900407,1,51,N,0,0,"819725,89","6848262,14",0,D,0,ACCROCHE,413,0,51,GE DIRE
14670,02/01/2026,51N900407,2,51,N,0,413,"819882,12","6848178,67",0,D,0,ACCROCHE,446,0,51,GE DIRE
33441,02/01/2026,51N900408,1,51,N,0,0,"820313,2","6847380,8",0,D,0,ACCROCHE,235,0,51,GE DIRE
34692,02/01/2026,51N900408,2,51,N,0,235,"820313,89","6847077,99",0,D,0,ACCROCHE,320,0,51,GE DIRE
9814,02/01/2026,51N900408,3,51,N,0,555,"820634,65","6847015,97",0,D,0,ACCROCHE,545,0,51,GE DIRE
43497,02/01/2026,51N900408,4,51,N,0,1100,"820314,76","6847090,47",0,D,0,ACCROCHE,594,0,51,GE DIRE
72054,02/01/2026,51N900409,1,51,N,0,0,"750443,58","6847719,52",0,D,0,ACCROCHE,255,0,51,GE DIRE
59478,02/01/2026,51N900409,2,51,N,0,255,"750519,91","6847678,43",0,D,0,ACCROCHE,100,0,51,GE DIRE
71855,02/01/2026,51N900409,3,51,N,0,355,"750456,57","6847700,67",0,D,0,ACCROCHE,27,0,51,GE DIRE
35136,02/01/2026,51N900410,1,51,N,0,0,"751677,91","6847535,87",0,D,0,ACCROCHE,220,0,51,GE DIRE
49257,02/01/2026,51N900410,2,51,N,0,220,"751894,93","6847510,2",0,D,0,ACCROCHE,360,0,51,GE DIRE
42593,02/01/2026,51N900411,1,51,N,0,0,"766397,71","6848123,65",0,D,0,ACCROCHE,230,0,51,GE DIRE
8474,02/01/2026,51N900411,2,51,N,0,230,"766623,56","6848080,93",0,D,0,ACCROCHE,271,0,51,GE DIRE
